porst	va	vb	vbg	vc	l17	l18	l19	l20	amp/vg	amp/vq	amp/vx	VNW	VDDPST	POC	VDDCE	VDDPE	VPW	VSSPST	VSSE	BGR_Core/vbneg	BGR_Core/l6	BGR_Core/l7	BGR_Core/l8	BGR_Core/l10	BGR_Core/l11	BGR_Core/l1	BGR_Core/l2	BGR_Core/l4	BGR_Core/l5	BGR_Core/l12	BGR_Core/R6/l	BGR_Core/R7/l	BGR_Core/R8/l	BGR_Core/R10/l	BGR_Core/R11/l	BGR_Core/R3/l	BGR_Core/R1/l	BGR_Core/R2/l	BGR_Core/R4/l	BGR_Core/R5/l	BGR_Core/R12/l	R17/l	R18/l	R19/l	R20/l	VDD	VSS
16	7	5	18	10	19	14	16	15	7	15	6	5	20	5	7	17	11	5	15	10	10	5	13	18	19	4	2	3	2	6	5	15	14	17	2	12	6	4	14	20	9	3	8	15	2	3	14
16	7	5	18	10	19	14	16	15	7	15	6	5	20	5	7	17	11	5	15	10	10	5	13	18	19	4	2	3	2	6	5	15	14	17	2	12	6	4	14	20	9	3	8	15	2	3	14
16	7	5	18	10	19	14	16	15	7	15	6	5	20	5	7	17	11	5	15	10	10	5	20	18	19	4	2	3	2	6	5	14	14	17	2	12	6	4	14	20	9	3	8	15	2	3	14
16	7	5	18	10	19	14	16	15	7	15	6	5	20	5	7	17	11	5	15	10	10	5	13	18	19	4	2	3	2	6	5	15	14	17	2	12	6	4	14	20	9	3	8	15	2	3	14
16	7	5	18	10	19	14	16	15	7	15	6	5	20	5	7	17	11	5	15	10	10	5	13	18	19	4	2	3	2	6	5	15	14	17	2	12	6	4	14	20	9	3	8	15	2	3	14
16	7	5	18	10	19	14	16	15	7	15	6	5	20	5	7	17	11	5	15	10	10	5	13	18	19	4	2	3	2	6	5	15	14	17	2	12	6	4	14	20	9	3	8	15	2	3	14
16	7	5	18	10	19	14	16	15	7	15	6	5	20	5	7	17	11	5	15	10	10	5	13	18	19	4	2	3	2	6	5	15	14	17	2	12	6	4	14	20	9	3	8	15	2	3	14
16	7	5	18	10	19	14	16	15	7	15	6	5	20	5	7	17	11	5	15	10	10	5	13	18	19	4	2	3	2	6	5	15	14	17	2	12	6	4	14	20	9	3	8	15	2	3	14
12	14	12	14	10	2	8	16	11	14	15	6	7	17	8	7	8	4	10	18	18	7	20	7	17	5	17	9	15	7	5	3	18	3	4	5	20	6	6	20	8	13	13	5	5	14	17	6
12	14	12	14	10	2	8	16	11	14	15	6	7	17	8	7	8	4	10	18	18	7	20	7	17	5	17	9	15	7	5	3	18	3	4	5	20	6	6	20	8	13	13	5	5	14	17	6
12	14	12	14	10	2	8	16	11	14	15	6	7	17	8	7	8	4	10	18	18	7	20	7	17	5	17	9	15	7	5	3	18	3	4	5	20	6	6	20	8	13	13	5	5	14	17	6
12	14	12	14	10	2	8	16	11	14	15	6	7	17	8	7	8	4	10	18	18	7	20	7	17	5	17	9	15	7	5	3	18	3	4	5	20	6	6	20	8	13	13	5	5	14	17	6
12	14	12	14	10	2	8	16	11	14	15	6	7	17	8	7	8	4	10	18	18	7	20	7	17	5	17	9	15	7	5	3	18	3	4	5	20	6	6	20	8	13	13	5	5	14	17	6
6	18	4	8	11	18	5	3	6	12	3	12	7	16	14	8	15	17	8	7	14	3	12	18	8	12	7	18	19	20	15	6	17	20	8	16	3	9	17	12	19	8	2	3	3	6	9	16
16	6	15	3	17	17	4	11	12	6	16	8	18	4	11	6	8	10	19	15	11	5	4	13	17	16	4	13	20	12	8	17	17	16	18	10	7	19	2	5	15	2	17	17	9	12	5	8
17	3	18	7	19	3	19	13	15	18	6	4	3	3	14	5	4	14	13	18	12	13	18	19	14	11	8	20	4	6	14	13	11	3	18	13	3	2	2	6	10	7	6	7	5	18	17	4
12	14	12	14	10	2	8	16	11	14	15	6	7	17	8	7	8	4	10	18	18	7	20	7	17	5	17	9	15	7	5	3	18	3	4	5	20	6	6	20	8	13	13	5	5	14	17	6
8	16	15	20	10	16	6	13	4	12	5	17	20	12	9	18	12	10	5	9	13	6	12	20	6	13	6	9	15	10	18	7	3	5	8	17	5	11	12	10	5	9	2	13	11	5	17	8
6	17	15	14	9	13	6	11	9	8	10	9	20	20	13	17	11	12	6	12	9	6	10	8	10	16	5	16	16	8	18	13	9	4	20	17	8	11	14	10	6	9	12	15	9	9	3	7
3	2	19	15	5	10	4	9	4	11	13	15	7	3	18	16	3	5	14	8	10	13	17	20	7	8	3	7	7	12	18	10	5	16	7	2	17	15	20	18	11	13	14	10	6	19	2	16
10	4	12	12	19	11	3	9	18	6	10	3	14	15	10	20	9	10	12	19	17	16	5	15	13	7	18	3	9	17	14	2	9	4	11	5	7	6	16	2	13	18	15	5	18	9	17	11
10	4	12	12	19	11	3	9	18	6	10	3	14	15	10	20	9	10	12	19	17	16	5	15	13	7	18	3	9	17	14	2	9	4	11	5	7	6	16	2	13	18	15	5	18	9	17	11
8	20	15	20	10	16	17	13	4	12	5	17	20	12	8	9	2	10	5	9	13	7	12	15	3	5	6	9	3	20	19	4	2	5	8	20	5	14	4	13	5	3	2	8	7	5	17	8
8	20	15	20	10	16	17	13	4	12	5	17	20	12	8	9	2	10	5	9	13	7	12	15	3	5	6	9	3	20	19	4	2	5	8	20	5	14	4	13	5	3	2	8	7	5	17	8
5	17	19	13	12	5	2	9	9	17	11	10	9	2	17	13	18	12	4	4	11	20	15	9	13	14	6	9	11	8	17	13	11	14	6	5	14	13	18	17	9	13	13	15	10	13	14	11
6	18	15	14	9	13	14	11	9	8	10	9	19	20	13	16	9	12	6	12	9	6	10	19	7	19	5	16	17	8	7	13	9	4	19	17	8	11	14	10	18	8	13	15	12	2	3	8
6	13	16	3	17	8	11	2	16	16	2	8	11	5	11	19	6	15	17	4	17	9	19	14	10	2	5	10	3	2	10	14	18	20	14	16	5	10	13	11	8	4	3	4	10	11	19	12
6	19	11	15	14	19	3	16	19	6	19	6	8	20	7	4	20	17	11	10	10	8	14	2	3	18	4	2	11	6	6	18	6	5	12	2	12	6	12	20	4	4	13	8	10	16	12	17
8	16	15	20	10	16	6	13	4	12	5	17	20	12	9	18	12	10	5	9	13	6	12	20	6	13	6	9	15	10	18	7	3	5	8	17	5	11	12	10	5	9	2	13	11	5	17	8
6	18	19	13	9	14	12	9	9	17	11	10	17	2	17	13	2	12	4	4	11	19	15	9	9	14	8	9	15	8	17	13	9	17	11	5	14	13	18	9	9	13	13	15	12	13	11	11
6	17	15	14	9	13	6	11	9	8	10	9	20	20	13	17	11	12	6	12	9	6	10	8	10	16	5	16	16	8	18	13	9	4	20	17	8	11	14	10	6	9	12	15	9	9	3	7
5	17	15	14	12	5	5	11	9	8	10	9	10	20	13	16	20	12	6	12	9	5	10	19	11	19	4	16	13	8	7	13	11	3	14	17	8	11	14	18	18	8	13	15	10	2	6	8
10	4	12	12	19	11	3	9	18	6	10	3	14	15	10	20	9	10	12	19	17	16	5	15	13	7	18	3	9	17	14	2	9	4	11	5	7	6	16	2	13	18	15	5	18	9	17	11
5	18	9	7	4	15	11	11	18	6	20	18	8	19	5	15	19	14	10	11	16	13	20	6	7	5	5	14	14	20	16	6	19	11	13	17	15	8	17	17	18	12	17	3	16	11	6	17
5	18	9	7	4	15	11	11	18	6	20	18	8	19	5	15	19	14	10	11	16	13	20	6	7	5	5	14	14	20	16	6	19	11	13	17	15	8	17	17	18	12	17	3	16	11	6	17
5	18	9	7	4	15	11	11	18	6	20	18	8	19	5	15	19	14	10	11	16	13	20	6	7	5	5	14	14	20	16	6	19	11	13	17	15	8	17	17	18	12	17	3	16	11	6	17
5	18	9	7	4	15	11	11	18	6	20	18	8	19	5	15	19	14	10	11	16	13	20	6	7	5	5	14	14	20	16	6	19	11	13	17	15	8	17	17	18	12	17	3	16	11	6	17
3	4	14	12	15	10	4	8	4	11	13	13	7	3	10	20	7	7	16	18	10	16	4	18	6	2	4	4	7	14	13	10	5	8	7	16	16	10	20	18	11	13	14	8	4	17	19	12
10	10	6	3	7	13	12	8	5	18	17	6	10	12	8	5	9	13	14	5	10	14	19	13	3	12	9	14	3	15	19	10	7	10	3	10	4	12	15	2	10	9	7	10	13	18	5	7
8	20	15	20	10	16	17	13	4	12	5	17	20	12	8	9	2	10	5	9	13	7	12	15	3	5	6	9	3	20	19	4	2	5	8	20	5	14	4	13	5	3	2	8	7	5	17	8
3	19	11	4	17	19	14	18	18	6	18	18	15	20	10	4	6	17	20	15	3	7	15	4	3	16	6	2	12	15	20	16	17	3	12	2	14	4	7	13	2	13	13	7	8	10	12	14
5	18	9	7	4	15	11	11	18	6	20	18	8	19	5	15	19	14	10	11	16	13	20	6	7	5	5	14	14	20	16	6	19	11	13	17	15	8	17	17	18	12	17	3	16	11	6	17
17	3	10	15	13	11	4	2	17	4	20	18	18	18	16	10	5	20	19	11	9	14	14	11	12	9	17	8	15	3	2	12	20	20	17	4	18	15	15	12	12	2	5	15	6	9	2	5
17	3	10	15	13	11	4	2	17	4	20	18	18	18	16	10	5	20	19	11	9	14	14	11	12	9	17	8	15	3	2	12	20	20	17	4	18	15	15	12	12	2	5	15	6	9	2	5
5	18	9	7	4	15	11	11	18	6	20	18	8	19	5	17	19	14	10	11	16	13	20	6	7	5	5	14	14	20	16	6	19	11	13	17	15	8	17	17	18	12	17	3	16	11	6	17
16	17	6	6	3	5	6	5	14	5	11	4	20	20	5	8	11	14	7	18	16	10	12	7	14	10	7	7	4	8	18	13	16	4	12	18	15	11	16	3	6	13	7	17	9	9	4	6
16	17	6	6	3	5	6	5	14	5	11	4	20	20	5	8	11	14	7	18	16	10	12	7	14	10	7	7	4	8	18	13	16	4	12	18	15	11	16	3	6	13	7	17	9	9	4	6
13	3	16	15	10	3	19	13	4	18	5	11	6	4	8	4	4	10	8	9	13	13	13	15	2	14	7	10	3	15	19	16	2	6	10	14	3	2	3	4	11	7	2	8	7	5	17	8
3	12	4	8	16	20	16	18	7	12	6	17	19	3	19	4	18	12	2	4	5	15	13	8	18	18	14	18	13	5	5	17	2	7	6	6	12	8	3	15	3	11	19	3	7	13	4	19
6	5	14	4	4	6	15	10	19	8	8	14	15	5	16	4	9	16	13	15	5	14	15	2	18	12	10	8	13	11	14	4	6	19	13	5	19	16	16	18	7	8	15	7	9	6	14	19
10	14	15	17	3	7	18	13	8	9	6	9	11	6	7	19	10	19	2	7	9	15	7	9	19	6	20	7	9	18	11	2	16	8	3	15	7	14	18	14	8	14	19	18	17	5	6	4
10	4	12	12	19	11	3	9	18	6	10	3	14	15	10	20	9	10	12	19	17	16	5	15	13	7	18	3	9	17	14	2	9	4	11	5	7	6	16	2	13	18	15	5	18	9	17	11
6	19	11	15	14	19	3	10	19	6	19	6	8	20	7	6	20	17	13	11	15	13	19	9	3	18	4	5	11	6	6	3	10	8	12	4	12	6	18	18	4	4	17	7	10	15	12	17
5	17	6	3	7	13	5	11	5	19	17	6	10	12	8	5	7	13	5	3	10	14	19	13	9	12	9	14	5	15	19	12	7	10	18	10	5	11	15	2	7	9	10	15	11	18	4	8
6	18	4	8	11	18	5	3	6	12	3	12	7	16	14	13	15	17	8	7	14	3	12	18	8	12	7	18	19	20	15	6	17	20	8	16	3	9	17	12	19	8	2	3	3	6	9	16
