a0	a1
70.070	92.920
70.070	92.920
70.070	92.920
70.070	92.920
70.070	92.920
70.070	92.920
70.070	92.920
70.070	92.920
417.670	77.580
417.670	77.580
417.670	77.580
417.670	77.580
417.670	77.580
59.560	195.560
324.190	194.280
179.640	202.480
417.670	77.580
230.480	109.185
194.310	111.205
242.200	163.140
148.020	128.620
148.020	128.620
280.260	234.525
280.260	234.525
110.400	146.560
123.470	100.280
107.900	240.250
116.160	174.530
230.480	109.185
230.480	109.185
194.310	111.205
194.310	111.205
148.020	128.620
337.740	123.145
337.740	123.145
337.740	123.145
337.740	123.145
130.860	139.370
130.860	139.370
280.260	234.525
273.400	123.880
337.740	123.145
337.740	123.145
337.740	123.145
230.610	127.590
158.590	196.160
158.590	196.160
258.180	126.640
188.750	173.630
184.370	203.400
341.710	152.550
148.020	128.620
152.320	142.400
232.040	128.730
232.040	128.730
258.340	196.470
258.340	196.470
216.540	140.520
242.200	163.140
242.200	163.140
216.540	140.520
223.660	136.000
148.980	170.150
478.420	188.990
478.420	188.990
175.840	144.440
297.640	130.280
149.300	175.715
59.560	195.560
59.560	195.560
59.560	195.560
403.830	179.340
403.830	179.340
478.420	188.990
218.770	156.400
186.250	164.030
179.560	171.440
155.060	172.100
180.400	164.235
241.300	132.680
