
No compatibility mode selected!


Circuit: bgr tf - compute variation coefficients

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000


Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
xbgr.sky130_asc_res_xhigh_po_2p85_1_7/rin     4.28443e-26
xbgr.xsky130_asc_res_xhigh_po_2p85_1_7.x0.t1     4.28443e-26
xbgr.xsky130_asc_res_xhigh_po_2p85_1_7.x0.t2     4.28443e-26
vss                                4.28443e-26
xbgr.sky130_asc_res_xhigh_po_2p85_1_6/rin     4.28443e-26
xbgr.xsky130_asc_res_xhigh_po_2p85_1_7.x1.t1     4.28443e-26
xbgr.xsky130_asc_res_xhigh_po_2p85_1_7.x1.t2     4.28443e-26
bg                                 4.28443e-26
xbgr.xsky130_asc_res_xhigh_po_2p85_1_8.x0.t1     4.28443e-26
xbgr.xsky130_asc_res_xhigh_po_2p85_1_8.x0.t2     4.28443e-26
xbgr.xsky130_asc_res_xhigh_po_2p85_1_8.x1.t1     4.28443e-26
xbgr.xsky130_asc_res_xhigh_po_2p85_1_8.x1.t2     4.28443e-26
xbgr.sky130_asc_res_xhigh_po_2p85_1_9/rin    -3.90853e-24
xbgr.xsky130_asc_res_xhigh_po_2p85_1_9.x0.t1    -3.90195e-24
xbgr.xsky130_asc_res_xhigh_po_2p85_1_9.x0.t2    -3.07838e-24
xbgr.sky130_asc_res_xhigh_po_2p85_2_0/rin    -2.23507e-24
xbgr.xsky130_asc_res_xhigh_po_2p85_1_9.x1.t1    -2.24165e-24
xbgr.xsky130_asc_res_xhigh_po_2p85_1_9.x1.t2    -3.06522e-24
vdd                                4.28443e-26
xbgr.sky130_asc_cap_mim_m3_1_4/cout     3.35415e-18
xbgr.sky130_asc_nfet_01v8_lvt_9_2/gate    -1.89697e-23
xbgr.sky130_asc_cap_mim_m3_1_9/cin     4.44966e-26
xbgr.xsky130_asc_res_xhigh_po_2p85_1_30.x0.t1      4.4496e-26
xbgr.xsky130_asc_res_xhigh_po_2p85_1_30.x0.t2     4.44245e-26
xbgr.sky130_asc_res_xhigh_po_2p85_1_29/rin     4.43512e-26
xbgr.xsky130_asc_res_xhigh_po_2p85_1_30.x1.t1     4.43518e-26
xbgr.xsky130_asc_res_xhigh_po_2p85_1_30.x1.t2     4.44233e-26
xbgr.xsky130_asc_res_xhigh_po_2p85_1_20.x0.t1    -1.89697e-23
xbgr.xsky130_asc_res_xhigh_po_2p85_1_20.x0.t2    -1.89697e-23
xbgr.sky130_asc_res_xhigh_po_2p85_1_19/rin    -1.89698e-23
xbgr.xsky130_asc_res_xhigh_po_2p85_1_20.x1.t1    -1.89698e-23
xbgr.xsky130_asc_res_xhigh_po_2p85_1_20.x1.t2    -1.89697e-23
xbgr.sky130_asc_res_xhigh_po_2p85_1_19/rout    -1.89699e-23
xbgr.sky130_asc_res_xhigh_po_2p85_1_10/rin    -5.58199e-24
xbgr.xsky130_asc_res_xhigh_po_2p85_1_10.x0.t1    -5.57541e-24
xbgr.xsky130_asc_res_xhigh_po_2p85_1_10.x0.t2    -4.75184e-24
xbgr.xsky130_asc_res_xhigh_po_2p85_1_10.x1.t1    -3.91511e-24
xbgr.xsky130_asc_res_xhigh_po_2p85_1_10.x1.t2    -4.73868e-24
xbgr.sky130_asc_res_xhigh_po_2p85_1_21/rin     4.31877e-26
xbgr.xsky130_asc_res_xhigh_po_2p85_1_21.x0.t1     4.31871e-26
xbgr.xsky130_asc_res_xhigh_po_2p85_1_21.x0.t2     4.31156e-26
xbgr.sky130_asc_res_xhigh_po_2p85_2_1/rin     4.30423e-26
xbgr.xsky130_asc_res_xhigh_po_2p85_1_21.x1.t1     4.30429e-26
xbgr.xsky130_asc_res_xhigh_po_2p85_1_21.x1.t2     4.31144e-26
xbgr.xsky130_asc_res_xhigh_po_2p85_2_0.x0.t1     3.62646e-26
xbgr.xsky130_asc_res_xhigh_po_2p85_2_0.x0.t2    -1.08953e-24
xbgr.xsky130_asc_res_xhigh_po_2p85_2_0.x1.t1    -2.22849e-24
xbgr.xsky130_asc_res_xhigh_po_2p85_2_0.x1.t2    -1.10269e-24
xbgr.sky130_asc_res_xhigh_po_2p85_1_22/rin     4.33332e-26
xbgr.xsky130_asc_res_xhigh_po_2p85_1_22.x0.t1     4.33326e-26
xbgr.xsky130_asc_res_xhigh_po_2p85_1_22.x0.t2      4.3261e-26
xbgr.xsky130_asc_res_xhigh_po_2p85_1_22.x1.t1     4.31883e-26
xbgr.xsky130_asc_res_xhigh_po_2p85_1_22.x1.t2     4.32599e-26
xbgr.sky130_asc_res_xhigh_po_2p85_1_11/rin    -7.25545e-24
xbgr.xsky130_asc_res_xhigh_po_2p85_1_11.x0.t1    -7.24887e-24
xbgr.xsky130_asc_res_xhigh_po_2p85_1_11.x0.t2     -6.4253e-24
